spotify_id,song,artist
5tprHASjzXCxTFS7UHIOEr,Soon After Midnight,Bob Dylan
26B1qSOZdw6bHDuMT9j28F,All You Have to Do Is Dream - Take 2,Bob Dylan And The Band
6qXqt0OglSpA07Vlnx5fMX,On The Edge,Bobby V
6VsthkrfAFxVpRLaREVsn3,Who's Sorry Now,Bobby Vinton
0cD5w3qEDDNtoi30sP6LaA,I'm A Midnight Mover,Bobby Womack
38qig1e5aazETY15dADQkD,Fire,Bone Thugs-N-Harmony
2YJV5OoTo7DWx2Q8fYTVhX,My First Night Alone Without You - Remastered,Bonnie Raitt
4kPOP3aA0XKcgX3K4RMTpP,My First Night Alone Without You - Remastered,Bonnie Raitt
3p5C75ZF6nX6AZSP3ER5ic,Cocaine Fever,Boosie BadAzz
0tn6OWIbITbfVU7ZEGo5ci,The Truth,Boosie BadAzz
5FVuERsYqtKKAaWe62NBnv,Mean To Me,Brett Eldredge
6lU3mqaFkPjRAnnw9qNjOB,Always Be My Baby,Brian McKnight
45MpoG2B3CEHoZa8OhrAw2,Body Ache,Britney Spears
1L1zwPPfQcn3bhuIt5eNR8,Mama Don't Get Dressed up for Nothing,Brooks & Dunn
5E4Agg3s79AesyNa8VWrwo,Mama Don't Get Dressed up for Nothing,Brooks & Dunn
59gijFhkwYNY2IAw0wg2PX,Someone I Used To Love,Bruce Cockburn
1bUbmvdDPQf95nR5FTODwD,Santiago Dawn,Bruce Cockburn
7kBZ4GBUBkG3uO3IEKoPZK,Grim Travellers,Bruce Cockburn
1Zvj0LA3JBZPutVFNe4wPj,Grim Travellers,Bruce Cockburn
0kCZaMtxJtEGTSyMllPTNn,Respect Yourself,Bruce Willis
1IgakQbD2PZgYKo4r1TxXa,Midnight Train,Bryan Ferry
65NbTrWKCZBFJKsG3qBPXC,Lover Come Back To Me,Bryan Ferry
1jinux2Q5Afix30KCtZiuz,Pac-Man Fever,Buckner And Garcia
7JsJR3GATj2YgBXhL7xAcN,Little Pain Inside,Buck-O-Nine
3zhWfTjCmrfcYTZy7C4OaD,Midnight Train,Buddy Guy
3HMOMdRPywfouYx5B4PvaH,Carry the Zero,Built To Spill
632vbWjIFoUmXHkAkoBJuT,Respect My Conglomerate,Busta Rhymes
6nkofkOqmOiWUMZ9yxGi3K,C8H18 (Gasoline),Butcher Babies
5awXcwd1lswlanJ6UQrbgc,Devil's Daughter,Caleb Johnson
5sKDQ3xqsjVlr8Arsnbyj9,Midnight Oil,California Breed
6EbCJGbFAFEGADv7HkxfRD,Devil Song,Camper van Beethoven
2wRzCcRQsIOaOlz7xFPoUB,Bearer Of Pain,Candlemass
1sMjMI1vVaA70dTxh4tucZ,Demented Aggression,Cannibal Corpse
3L05sOIKiJ7r8lKdPnFmnI,Perverse Suffering,Cannibal Corpse
