spotify_id,song,artist
2Dsv6KuneUJRcBRF55apj8,Needles,Adema
6adhpSbrhat9S0WEVjf4HP,The Way You Like It,Adema
3MX5pkUlXzyqJhQkLZF2Lu,Do What You Want To Do,Adema
6NSiHTnuDB3vwgJQF3bqJh,I Don't Want to Miss a Thing,Aerosmith
6NSiHTnuDB3vwgJQF3bqJh,I Don't Want to Miss a Thing,Aerosmith
4afJNzc6QD51eWAxzAnS0i,I Don't Want to Miss a Thing - Pop Mix,Aerosmith
1or7fDiq7c8kyDOzKLxVV0,Bitch's Brew,Aerosmith
0uCy3G3G6zUxZS0z74Y3UB,The Interview,AFI
78fii1y8vrGtn5YtHEnpaN,Ready Or Not,After 7
6AgDFWLbbAt2migXMbrhXT,Ready Or Not,After 7
0SW4itgCCZig5oIHIknv9l,Rebecca,Against Me!
4pFQnJsPUcfCL8yUvLL6od,Norse Truth,Against Me!
6XI33hctgDLUIRKI8wsJS4,Black Me Out,Against Me!
60nf1sRi0cdWys0JS899yp,Spanish Moss,Against Me!
5OWV0zaieHKpIW5O2EbRjy,There's Never a Forever Thing,a-ha
1EfWyN6MM2jkyHm7yZYi8b,Wonder Milky Bitch,Air
0lQBXClJb9Z0gyzFXyohVB,Sweet Dreams,Air Supply
2aQ9yUp14YVKsOKuCDnBJn,Sweet Dreams,Air Supply
2V1jR8mxrYCD9nXaem1tMz,Come Hang Out,AJR
16t84m3s4wYf2yKVRnip6A,Come Hang Out,AJR
0abCAdQ235vfucv4zXeSbG,You Ought to Be with Me,Al Green
3f98UbAwdemUQBVmanUQ50,All Or Nothing At All,Al Jarreau
0Q6lnlHh3LtXjsU4m6ypbq,I'm in a Hurry (And Don't Know Why),Alabama
4X0D00B3dGv60n15ijOi9h,Forever's as Far as I'll Go,Alabama
29nNU80zu0vscbrvTi55mG,I'm in a Hurry (And Don't Know Why),Alabama
55T0aPW2BhvMJc5vzh0iPn,Forever's as Far as I'll Go,Alabama
3hTjtsEhDrKZJftHWGDt1U,I'm In A Hurry (And Don't Know Why),Alabama
1N9GGOUf8TQqsaPDByZzEF,I'm in a Hurry (And Don't Know Why),Alabama
2YOyaUvVTUaY7L92w6AFUR,Forever's as Far as I'll Go,Alabama
1DY5Zb4b35nDrEN1XV4ei8,I Want To Know You Before We Make Love,Alabama
4fKe0jUp5CJJ0t3gSJsyid,Nominada Para Nada,Alacranes Musical
71A4y5Lw8tSo4iiwB8ZGqL,I'll Try,Alan Jackson
0OARDVtOgy3FvDTST60pdj,Wherever He Leads I'll Go,Alan Jackson
1ewF13XePibNocldQVBOBs,Blue Side Of Heaven,Alan Jackson
12ZGDuff6MYid7PJvYMExo,So You Don't Have To Love Me Anymore,Alan Jackson
7dkQKWBHGFGgz6b6bs6DYW,I'll Try,Alan Jackson
0ii72dr01VaONkCjXibU9H,Till The End (with Lee Ann Womack),Alan Jackson
1xdrFo4nr4ZJEDO0afSeg9,I'll Go On Loving You,Alan Jackson
6EUCcepzBYf8SSe82iX1gK,Pop a Top,Alan Jackson
0R8YkUopqrgLgR6WDowjYb,Pop a Top,Alan Jackson
59Bz9OHvxj0B8ckmzmi9ie,I'll Go On Loving You,Alan Jackson
0D1cD4ezxQIJdRTq78BKXB,Pop A Top,Alan Jackson
5QKB3gOofuRF9LKeSdFiOi,I'll Go On Loving You,Alan Jackson
1JHUJzOSYQseo8jCIMHS1m,I'll Try,Alan Jackson
3o5dmw1M6ugfLpva7yTyDr,32 Flavors,Alana Davis
3i4NqznVYpSzS05D74avnj,Not the Doctor - 2015 Remaster,Alanis Morissette
7yXkcu1PpHLs8ULtESC8mB,Eight Easy Steps,Alanis Morissette
5ej9UFygxBpCLhdIG8a5tZ,Incomplete,Alanis Morissette
7fVg8UOUA3XkSNoChVFsvX,Eight Easy Steps,Alanis Morissette
7hKI5dSQtpbHlWrvxgoxyh,This Grudge,Alanis Morissette
2qItYsKjVA8xQtld90TyGE,Spineless,Alanis Morissette
67Ipo3FaNafRzeGqdoFNnk,Hurry Make Love,Alannah Myles
4qOmiimTFg3w1EfK9cKSTF,The Air That I Breathe,Albert Hammond
4h7oOfJ4OjQn03rGogbPIi,High Cost Of Loving,Albert King
52fSlmzidpFAdpeJsoql2M,Everybody Wants To Go To Heaven,Albert King
7KSzIkQY7uFFuz7kbwwInq,Call It Stormy Monday,Albert King With Stevie Ray Vaughan
7LT4fHsmXFTmAA4Rmz2cen,Breaking The Heart Of The City,Alcatrazz
0uXf8bGgliwVEuaqUmhohG,Down In The Bowery,Alejandro Escovedo
7rEXzx4cwjEJVPiG1B8Rk8,Para Vivir,Alejandro Fernandez
7opAyjCuxd8V0g6nuo7ZfF,Avísame,Alejandro Fernandez
0Nc6cLmmZZDN07P1N7LSSm,The Temptress,Alesana
4SXHU2arEsaov1AmrzE1HQ,Circle VII: Sins Of The Lion,Alesana
3q7c91GhUXF0XwOdzo8fCu,The Wanderer,Alesana
2LvWPTpuxKo5saMjK69xGo,The Wanderer - Score,Alesana
2DePNQmfS4t6iUETRU72uH,I Don't Want To,Alessia Cara
0G4dhE7ZHZyuBLWoBfuQTY,Cold Machines,Alice Cooper
0FEzpdOqGqlBqwUIn9zUD3,Snakebite,Alice Cooper
4FU23SUF4uJT4aY9DI7ndA,The World Needs Guts,Alice Cooper
4PZMjq7zY0cDd3DjZNVdZ9,"You Want It, You Got It",Alice Cooper
1gKO3f4MzP3CnuGnLgYUaj,My Stars,Alice Cooper
6N18F843M7cyNozIzLfBbS,Stone,Alice In Chains
5XR4yX8QBWWu0eAxSoFIPi,No Excuses,Alice In Chains
5nGm5oQt2ySgSEIoa3nhZz,No Excuses,Alice In Chains
5UK0Y0zIYxqfuTSMjHdp3Y,No Excuses,Alice In Chains
4PtZE0h5oyPhCtPjg3NeYQ,No Excuses,Alice In Chains
76SpS6xEs4BHaKoNpnDPZJ,Illusion Of Bliss,Alicia Keys
1fDm1kCj6dwmviArCtCsOA,Distance and Time,Alicia Keys
1uD76u7VzeiplKKmvLEJ43,I Need You,Alicia Keys
7q4ElMUqO1sqqdrIvQ6HEY,Dragon Days,Alicia Keys
4nwVStZMmFXQKxMZkA6id6,Dreaming My Dreams with You,Alison Krauss
74udjPqpX9rPteW1P3ewMj,Goodbye Is All We Have,Alison Krauss + Union Station
595PMSjCHt2JXmSzl56KHB,It Doesn't Matter,Alison Krauss + Union Station
4yAEEKPnHEiMP4AF3ipwad,Palm of Your Hand (Cloak & Dagger) - 2016 Remastered,Alison Moyet
1YbbF4RgTU1DL28lz9xpR8,Love Resurrection,Alison Moyet
0bNh4dFYghzvk3uCNKweap,Sweet Vampires,Alkaline Trio
219DU5WdarWWzSssghQqPH,"I, Pessimist",Alkaline Trio
4IjyJ9j1S0QpLFAb313GbF,Radio,Alkaline Trio
5FzZbgDOXMfxSS5XBCZ2Ym,This Addiction - Acoustic,Alkaline Trio
5out6cQvbfkm7d0Rm7k1jq,Fine Without You,Alkaline Trio
4NFV9MCy465LEe7vXMf6ZN,Fall Victim,Alkaline Trio
19mFt7CznVnV5DH56ZoBTn,Oh How I Need You,All Sons & Daughters
6NMzAIKmif0HbMREXBuiZ4,Paint You Wings,All Time Low
3V0PeMg2mhbYRtk9bioAwF,I Swear,All-4-One
4zPJOWyyjNDXcuBfQUBCpy,Be There,Allstar Weekend
7AIIQDSoEuxmAkPj2MDxDk,"Hey, Princess",Allstar Weekend
4q2NVW8MvR3e0JFD06eMfS,"Hey, Princess",Allstar Weekend
6BVBkKpZK09NmifUMZqj1z,Every Other Freckle,alt-J
75CJREZ9lGzG69o8GZM0Uv,Another Year,Amanda Palmer
15Rq96Z3dzatIesVxtFTuN,Break Down And Cry,Amaranthe
3sZffWnd1yuYEEGylNJpgo,An Ordinary Abnormality,Amaranthe
4RahunRYJeJwnh7wYGPdDR,I Need You - Live,America
59KY3Mer3ceb5Ekv9trwYA,I Need You,America
1mMGKA0r0EuZ1ajd53NGEq,'Til The Final Curtain Falls,American Aquarium
0JG9qctL7L6rLYBqoYdO1p,The Art Of Losing,American Hi-Fi
68Nibmtwutip9V74XZ2Mut,Beautiful Disaster,American Hi-Fi
269jrKiZTdmnGF1e9lQCYl,Whisper of Angels,Amici Forever
45WkcBtgPS8xulUwEg63X1,TOGETHER,Amine
6VhojS7vct8ezVYpJpsORF,Live Without Regrets,Amon Amarth
4tRaOyzBtKDXDmuozVYuKS,Cup Of Sorrow,Amos Lee
7fxnOHSId8q1592HImTpJI,Say You'll Be Mine,Amy Grant
0RITbouEkfCBCJibEON8Y5,The Prodigal (I'll Be Waiting),Amy Grant
4A585jhAZFJG4aEuATm2aq,I Dreamed You,Anastacia
6yl73LYJSJtAh09JI2y3X2,Atonement,Anberlin
4hl9dn9g3zWjkh0CjQ3KiU,Type Three,Anberlin
2W7qHkHQf7Yuv0kRxgLbh7,Orpheum,Anberlin
66iJO6ZimBzscI6Ooat82p,Type Three,Anberlin
4QYPKFgpqm52NMqoczgp49,Orpheum,Anberlin
1mg3V1zLDTU4XswEQ7B3hR,Soft Skeletons,Anberlin
6o2n4MmYMgddwVeYaxzsUh,The Unwinding Cable Car,Anberlin
0ufJvW3ZBUEw9xm3wWkSOP,Inevitable,Anberlin
3m8YMaSrqJYLT22Fd62UQX,"Dance, Dance, Christa Paffgen",Anberlin
1eMWxSLN7rDSDSrvKSj8gS,Sweet Chick (feat. BJ The Chicago Kid),Anderson .Paak
2wAe7P6jaZkCYWR2MojFy6,The Promise,Andrae Crouch
4LS6XT4bxEwpfFqrWT60gl,The Promise (Marvin's Testimony) - Bonus Track,Andrae Crouch
0BdGEBApGezl0i0Vhwlbfm,Walking In My Sleep,Andrew McMahon In The Wilderness
5KBzsk9l1wAsIMynsc9e7O,Driving Through A Dream,Andrew McMahon In The Wilderness
0XsZaeHN46GQelB4rzW1EW,We Will Survive,Andrew Peterson
5XTx7UNqqBWbOo3YT3uO3m,Party Mindset,Andrew W.K.
1DtLl0k0zMrFqcW0pquxpf,Broken Pieces,Andy Black
3UwiwoLgQTZy7GZGY13gFa,Waiting For You,Andy Gibb
0eUqucSz60RcxIiFaJuN9O,Words And Music,Andy Gibb
2gyi6LGGVTQ4mGac6NeFFl,Still Bleeding,Andy Mineo
6zG8ExGPrrmbuli65cZFJG,Give It Up,Angel Olsen
53s8ytGYqOi1o4op1e2uXh,White Water - Bonus Track,Angel Olsen
4xR45SdSAMVL9bUebHxLvs,Yeah Yr Right,Ani DiFranco
2NVsZGu1472jZGL0qZB3Ny,Grey,Ani DiFranco
1SrMfyaWhPFhafVRbkoIHZ,Origami,Ani DiFranco
7FGzB3uaPsCMVMyqF9sKCh,Grey,Ani DiFranco
3OHr3grLAQBRajEIn2gNic,Out of Habit (live),Ani DiFranco
54HTmIBQYZohVqIiQIH7Jj,Monkey Riches,Animal Collective
3EZjubpxSTeYi4AUXZSPvM,Guys Eyes,Animal Collective
08jG6SeXAKoliX5nbpB6Hk,Lion In A Coma,Animal Collective
3ilYhdbWqY3mE1nlAhhOmh,I Engineer,Animotion
7sOsb2ihtTVkgtsY5Mhdj0,Do I Need You,Ann Peebles
45VI3CXfzqy8603mM9CndR,Consider This,Anna Nalick
1PdOwhgQerX39ENcJ5LDGF,Song For The Mira,Anne Murray
2t9IYNGfcaKSBKCHXZMv6h,A Love Song,Anne Murray
0SOrG8dFlT15hArQHYmAwe,Song For The Mira,Anne Murray
2ZMVTfvCziy8qzSMgpD8Cz,A Love Song,Anne Murray
1TvCh7rs00BamgwB98rXzA,A Love Song,Anne Murray
6xVr2J3X0zhEJQz5L0QNAP,Trigger,Anne-Marie
6jyHxjclXv6SIfh6Zz4qGN,God Rest Ye Merry Gentlemen,Annie Lennox
3t3g4eU0UZIUKKuIpWTWcr,Cold,Annie Lennox
0aV7RXw3UPfSD29cPkIfeW,Fingernail Moon,Annie Lennox
3SWpH05o2ow3GZkhd6EsMZ,Waiting In Vain,Annie Lennox
1ux3kZhUtIiGIlfXr1yRSm,Cold,Annie Lennox
7tbDfSXsYcUtqIOyLm0pfu,Pray For Me,Anthony Hamilton
